Model Name,Layer Configurations,Dropout Enabled,Dropout Percentage,Froze PreTrained Model Weights,Optimizer,Batch,Epoch,Accuracy Score,Average Macro Precision Score,Average Macro F1 Score,Average Macro Recall Score
VGG16,700_200_80_30_10_3_,TRUE,0.2,FALSE,sgd,100,30,0.8125,0.816321489,0.795699456,0.800411664
VGG16,700_200_80_30_10_3_,TRUE,0.5,TRUE,sgd,30,30,0.387820513,0.129273504,0.186297152,0.333333333
VGG16,1500_500_150_50_20_8_3_,FALSE,0.5,FALSE,Adam,100,80,0.387820513,0.129273504,0.186297152,0.333333333
VGG16,1500_500_150_50_20_8_3_,FALSE,0.2,TRUE,sgd,20,30,0.387820513,0.129273504,0.186297152,0.333333333
VGG16,1500_500_150_50_20_8_3_,TRUE,0.2,FALSE,Adam,20,50,0.387820513,0.129273504,0.186297152,0.333333333
VGG16,500_150_70_20_6_3_,FALSE,0.5,FALSE,Adam,100,80,0.387820513,0.129273504,0.186297152,0.333333333
Vgg19,500_150_70_20_6_3_,TRUE,0.2,FALSE,Adam,20,80,0.387820513,0.129273504,0.186297152,0.333333333
VGG16,1500_500_150_50_20_8_3_,TRUE,0.2,FALSE,Adam,30,80,0.387820513,0.129273504,0.186297152,0.333333333
VGG16,1500_500_150_50_20_8_3_,FALSE,0.2,TRUE,sgd,50,50,0.685897436,0.753509832,0.64141766,0.638991662
VGG16,1500_500_150_50_20_8_3_,TRUE,0.2,TRUE,Adam,30,50,0.650641026,0.496415043,0.503782255,0.567187022
Vgg19,500_150_70_20_6_3_,FALSE,0.2,TRUE,Adam,30,30,0.657051282,0.579386421,0.553114582,0.583336038
Vgg19,500_150_70_20_6_3_,TRUE,0.5,FALSE,Adam,30,30,0.387820513,0.129273504,0.186297152,0.333333333
VGG16,700_200_80_30_10_3_,FALSE,0.5,TRUE,sgd,50,80,0.834935897,0.844126608,0.823750866,0.822010186
Vgg19,1500_500_150_50_20_8_3_,FALSE,0.5,TRUE,Adam,20,80,0.791666667,0.810672746,0.776166982,0.800339119
VGG16,500_150_70_20_6_3_,FALSE,0.2,TRUE,sgd,30,30,0.649038462,0.458133971,0.498432602,0.56675143
VGG16,700_200_80_30_10_3_,TRUE,0.5,FALSE,Adam,100,30,0.387820513,0.129273504,0.186297152,0.333333333
Vgg19,500_150_70_20_6_3_,TRUE,0.5,FALSE,sgd,20,30,0.387820513,0.129273504,0.186297152,0.333333333
VGG16,500_150_70_20_6_3_,TRUE,0.5,FALSE,Adam,100,80,0.387820513,0.129273504,0.186297152,0.333333333
VGG16,700_200_80_30_10_3_,FALSE,0.2,FALSE,sgd,50,50,0.578525641,0.65456088,0.515214881,0.546766888
Vgg19,1500_500_150_50_20_8_3_,FALSE,0.5,TRUE,Adam,50,80,0.727564103,0.758062062,0.705124648,0.718338173
Vgg19,500_150_70_20_6_3_,TRUE,0.2,TRUE,Adam,20,30,0.689102564,0.477281783,0.527180777,0.601987238
Vgg19,500_150_70_20_6_3_,TRUE,0.2,TRUE,Adam,20,50,0.645833333,0.494738186,0.500236125,0.562960608
Vgg19,500_150_70_20_6_3_,TRUE,0.2,TRUE,Adam,20,80,0.616987179,0.486208668,0.476722976,0.537366674
Vgg19,500_150_70_20_6_3_,TRUE,0.2,TRUE,Adam,30,30,0.626602564,0.491364036,0.483964427,0.545772409
Vgg19,500_150_70_20_6_3_,TRUE,0.2,TRUE,Adam,30,50,0.613782051,0.485811026,0.473106199,0.534423489
Vgg19,500_150_70_20_6_3_,TRUE,0.2,TRUE,Adam,30,80,0.564102564,0.501715337,0.439170305,0.491091696
Vgg19,500_150_70_20_6_3_,TRUE,0.2,TRUE,Adam,50,30,0.567307692,0.497567221,0.444360371,0.493987789
ResNet,2000_1000_500_250_125_40_10_3_,TRUE,0.4,TRUE,Adam,30,30,0.387820513,0.129273504,0.186297152,0.333333333
ResNet,500_150_70_20_6_3_,FALSE,0.2,FALSE,Adam,50,80,0.485576923,0.789099445,0.35407929,0.43095209
